Comment,Designator,Footprint,LCSC
1k,R12,R_0402_1005Metric,C11702
p channel mosfet sot 23,Q1,SOT-23,C15127
10n,C5,C_0402_1005Metric,C15195
100n,"C1,C10,C11,C3,C6,C8,C9",C_0402_1005Metric,C1525
100pF,"C15,C16,C17",C_0402_1005Metric,C1546
C5307759,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
TM1638,IC1,SOP28 tm1638,C19187
4.7u,"C2,C7",C_0402_1005Metric,C23733
100,R2,R_0402_1005Metric,C25076
10k,"R1,R5,R6,R7,R8",R_0402_1005Metric,C25744
5k1,"R10,R13",R_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2687116
1u,"C19,C20",C_0805_2012Metric,C28323
Reset,SW3,SW_SPST_TL3342,C318884
2k,R11,R_0402_1005Metric,C4109
1u,C4,C_0402_1005Metric,C52923
XC6206P332MR ,U5,SOT-23,C5446
SS-1290,SW2,ss-1290,C589295
1N4148,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
STM32F072CBT6,U1,LQFP-48_7x7mm_P0.5mm,C81720
schottky diode ,D1,D_SOD-123,C8598
