Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_2460_1xAA,0.0,27.555,180.0,top
C1,100n,C_0402_1005Metric,-1.46,16.77,135.0,bottom
C2,4.7u,C_0402_1005Metric,-2.16,17.5,135.0,bottom
C3,100n,C_0402_1005Metric,6.15,11.88,225.0,bottom
C4,1u,C_0402_1005Metric,4.675,4.45,315.0,bottom
C5,10n,C_0402_1005Metric,3.945,5.17,315.0,bottom
C6,100n,C_0402_1005Metric,-6.760589,7.280589,45.0,bottom
C7,4.7u,C_0402_1005Metric,-6.06,8.0,45.0,bottom
C8,0.1uF,C_0402_1005Metric,5.135,6.11,225.0,bottom
C9,100n,C_0402_1005Metric,6.39,8.37,315.0,bottom
C10,0.1uF,C_0402_1005Metric,4.849411,13.190589,225.0,bottom
C11,100n,C_0402_1005Metric,-7.3,34.3,180.0,bottom
C15,100pF,C_0402_1005Metric,-6.575,16.53,90.0,bottom
C16,100pF,C_0402_1005Metric,-6.575,19.0,90.0,bottom
C17,100pF,C_0402_1005Metric,-6.575,21.6,270.0,bottom
C19,1u,C_0805_2012Metric,14.3,31.63,270.0,bottom
C20,1u,C_0805_2012Metric,7.85,31.61,90.0,bottom
D1,schottky diode ,D_SOD-123,24.175,31.75,180.0,bottom
D2,1n4148,D_SOD-123,16.5725,31.72,90.0,bottom
D3,1N4148,D_SOD-123,-21.0,-16.0,90.0,bottom
D4,1N4148,D_SOD-123,-20.9,-35.0,90.0,bottom
D5,1N4148,D_SOD-123,-20.7,-54.1,90.0,bottom
D6,1N4148,D_SOD-123,-20.8,-73.1,90.0,bottom
D7,1N4148,D_SOD-123,-2.1,-78.6,270.0,bottom
D8,1N4148,D_SOD-123,-1.8,-16.0,90.0,bottom
D9,1N4148,D_SOD-123,-1.8,-35.1,90.0,bottom
D10,1N4148,D_SOD-123,-1.8,-54.1,90.0,bottom
D11,1N4148,D_SOD-123,-2.2,-73.1,90.0,bottom
D12,1N4148,D_SOD-123,17.2,-16.1,90.0,bottom
D13,1N4148,D_SOD-123,17.1,-35.0,90.0,bottom
D14,1N4148,D_SOD-123,2.1,-54.2,90.0,bottom
D15,1N4148,D_SOD-123,17.3,-73.1,90.0,bottom
D16,1N4148,D_SOD-123,17.5,-78.2,270.0,bottom
D17,1N4148,D_SOD-123,21.2,-16.2,90.0,bottom
D18,1N4148,D_SOD-123,24.0,-32.3,180.0,bottom
D19,1N4148,D_SOD-123,24.0,-70.4,180.0,bottom
IC1,TM1638,SOP28 tm1638,-15.34,26.37,180.0,bottom
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,31.8,25.485,180.0,top
J3,C5307759,USB_C_Receptacle_HRO_TYPE-C-31-M-12,0.0,34.0,180.0,bottom
Q1,p channel mosfet sot 23,SOT-23,19.81,31.72,180.0,bottom
R1,10k,R_0402_1005Metric,24.275,7.65,90.0,bottom
R2,100,R_0402_1005Metric,6.175,23.15,270.0,bottom
R5,10K,R_0402_1005Metric,-7.575,16.53,270.0,bottom
R6,10K,R_0402_1005Metric,-7.575,19.0,270.0,bottom
R7,10K,R_0402_1005Metric,-7.575,21.58,90.0,bottom
R8,10k,R_0402_1005Metric,2.4,27.6,270.0,bottom
R10,5k1,R_0402_1005Metric,1.39,27.6,270.0,bottom
R11,2k,R_0402_1005Metric,3.865,14.85,315.0,bottom
R12,1k,R_0402_1005Metric,3.175,15.55,135.0,bottom
R13,5k1,R_0402_1005Metric,-1.5,27.6,270.0,bottom
SW1,batter_switch,SK12D07VG4_slider,33.24,13.32,90.0,top
SW2,SS-1290,ss-1290,27.525,7.9,270.0,bottom
SW3,Reset,SW_SPST_TL3342,10.945,25.49,0.0,bottom
U1,STM32F072CBT6,STM32L072CBT6,0.0,10.0,45.0,bottom
U2,USBLC6-2SC6,SOT-23-6,0.02,24.22,270.0,bottom
U5,XC6206P332MR ,SOT-23,11.05,31.57,90.0,bottom
