Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2460_1xAA,1,Battery_Cell,
"C1, C3, C6, C9",0402,4,100n,
"C10, C8",0402,2,0.1uF,
"C15, C16, C17",0805,3,100pF,
"C19, C20",0805,2,1u,
"C2, C7",0402,2,4.7u,
C4,0402,1,1u,
C5,0402,1,10n,
D1,Nexperia_CFP3_SOD-123W,1,schottky diode ,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D3, D4, D5, D6, D7, D8, D9",Nexperia_CFP3_SOD-123W,17,1N4148,
D2,Nexperia_CFP3_SOD-123W,1,1n4001,
"H1, H2, H3, H4, H5, H6, H7",MountingHole_2.2mm_M2_DIN965_Pad,7,MountingHole_Pad,
IC1,SOP28 tm1638,1,TM1638,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,C5307759,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
Q1,SOT-23,1,p channel mosfet sot 23,
"R1, R5, R6, R7, R8",0402,5,10k,
"R10, R13",0402,2,5k1,
R11,0402,1,2k,
R12,0402,1,1k,
R2,0402,1,100,
SW1,SK12D07VG4_slider,1,batter_switch,
SW2,ss-1290,1,SS-1290,
SW3,SW_SPST_TL3342,1,Reset,C318884
"SW_clear1, SW_divide1, SW_eight1, SW_five1, SW_four1, SW_minus1, SW_mutiplicate1, SW_nine1, SW_one1, SW_point1, SW_seven1, SW_six1, SW_three1, SW_two1",geo1.00u_PCB,14,SW_SPST,
"SW_equals1, SW_plus1",geo2.00u_Vertical_PCB,2,SW_SPST,
SW_zero1,geo2.00u_PCB,1,SW_SPST,
U1,STM32L072CBT6,1,STM32F072CBT6,
U2,SOT-23-6,1,USBLC6-2SC6,
"U3, U4",7seg_sr410361n,2,CC56-12GWA,
U5,SOT-23,1,XC6206P332MR ,
